InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice
10001,1,2025-04-01,5,220.0
10002,1,2025-04-20,3,180.0
10003,2,2023-05-10,1,15.0
10004,2,2023-06-11,1,12.0
10005,4,2024-09-15,10,11.5
10006,4,2025-01-01,9,107.78
10007,8,2024-10-28,5,203.31
10008,1,2025-01-23,3,176.04
10009,6,2024-05-22,3,57.75
10010,13,2024-06-21,2,27.72
10011,2,2024-07-02,6,152.91
10012,13,2024-01-23,8,136.38
10013,15,2024-07-12,2,140.25
10014,14,2024-11-17,10,221.94
10015,6,2024-10-22,4,177.62
10016,1,2024-12-04,4,194.4
10017,2,2025-03-13,4,217.29
10018,7,2024-05-22,8,160.74
10019,6,2024-03-24,6,92.04
10020,11,2024-05-16,2,154.24
10021,3,2024-09-30,4,45.03
10022,7,2024-05-18,9,58.81
10023,6,2025-03-07,1,61.12
10024,1,2025-02-16,6,103.29
10025,2,2024-04-18,10,219.71
10026,6,2024-04-18,8,101.93
10027,15,2024-11-25,8,40.0
10028,3,2024-05-06,9,137.05
10029,12,2024-10-26,7,224.97
10030,7,2024-07-04,4,249.34
10031,3,2024-09-17,8,27.27
10032,1,2025-03-16,2,42.45
10033,3,2025-02-09,7,151.12
10034,7,2024-07-14,10,249.05
10035,9,2024-05-08,9,215.89
10036,1,2024-12-14,2,172.02
10037,9,2025-01-19,5,193.31
10038,6,2024-02-27,5,111.52
10039,8,2024-01-02,5,243.11
10040,13,2024-04-01,9,228.59
10041,14,2024-11-16,5,211.21
10042,9,2024-11-07,4,42.45
10043,13,2024-03-23,9,238.61
10044,15,2024-09-28,1,151.74
10045,8,2024-01-10,2,232.63
10046,15,2025-03-01,5,63.67
10047,4,2025-03-25,10,237.0
10048,2,2025-01-09,8,204.93
10049,13,2024-09-29,3,36.46
10050,8,2025-04-29,9,45.46
